OGLE-LMC-DPV-090 LMC169.5  84641 05:29:58.67 -69:34:07.6 LMC_SC3_421777  77.8036.5142             
OGLE-LMC-DPV-091 LMC170.6  15663 05:30:19.54 -70:25:14.6                                          
OGLE-LMC-DPV-092 LMC170.5  36257 05:31:31.13 -70:12:58.5 LMC_SC2_232837  7.8269.36                
OGLE-LMC-DPV-093 LMC170.5 130569 05:32:01.74 -70:09:44.3 LMC_SC2_334386                           
OGLE-LMC-DPV-094 LMC170.4    569 05:33:29.58 -70:14:08.1 LMC_SC1_118927                           
OGLE-LMC-DPV-095 LMC169.2  19402 05:33:39.10 -69:56:23.1 LMC_SC1_151021  81.8636.51               
OGLE-LMC-DPV-096 LMC167.2  15325 05:33:42.67 -68:48:05.0                                          
OGLE-LMC-DPV-097 LMC170.1  46390 05:34:18.06 -70:38:08.7                                          
OGLE-LMC-DPV-098 LMC171.1   6974 05:34:18.25 -71:16:49.8                                          
OGLE-LMC-DPV-099 LMC166.4  18807 05:34:23.58 -67:48:34.7                                          
OGLE-LMC-DPV-100 LMC171.1  14349 05:35:27.71 -71:16:07.1                                          
OGLE-LMC-DPV-101 LMC176.7  46072 05:35:46.48 -69:51:54.7 LMC_SC16_132587              V3504 CV373 
OGLE-LMC-DPV-102 LMC170.1  27849 05:36:17.48 -70:43:02.7                                          
OGLE-LMC-DPV-103 LMC175.7  54002 05:36:23.11 -69:17:12.9                                          
OGLE-LMC-DPV-104 LMC177.5  81902 05:37:13.26 -70:10:58.1 LMC_SC16_235548 11.9237.2121             
OGLE-LMC-DPV-105 LMC174.8  24870 05:37:55.42 -68:57:06.9                                          
OGLE-LMC-DPV-106 LMC173.3    132 05:38:17.52 -67:58:07.4                                          
OGLE-LMC-DPV-107 LMC177.7  93899 05:39:06.68 -70:27:48.5 LMC_SC17_146796 11.9475.96               
OGLE-LMC-DPV-108 LMC177.6 105008 05:39:09.76 -70:19:26.0 LMC_SC17_158005 11.9477.138              
OGLE-LMC-DPV-109 LMC176.3    286 05:39:15.98 -69:46:32.6                                          
OGLE-LMC-DPV-110 LMC178.5  47863 05:39:17.37 -70:44:01.6 LMC_SC17_134336 11.9592.22               
OGLE-LMC-DPV-111 LMC178.5  55559 05:39:28.10 -70:45:53.7                                          
