OGLE-SMC-LPV-00128  SMC140.6   6875  OSARG O  00:23:06.98 -72:01:21.3                                      
OGLE-SMC-LPV-00129  SMC140.7   6030  OSARG O  00:23:07.37 -72:10:43.8                                      
OGLE-SMC-LPV-00130  SMC138.7     41  OSARG O  00:23:08.89 -73:57:39.9                                      
OGLE-SMC-LPV-00131  SMC140.8  11168  OSARG O  00:23:09.10 -72:18:28.8                                      
OGLE-SMC-LPV-00132  SMC136.7     12  OSARG O  00:23:09.32 -72:48:23.2                                      
OGLE-SMC-LPV-00133  SMC138.6     45  OSARG O  00:23:10.69 -73:52:37.3                                      
OGLE-SMC-LPV-00134  SMC138.8   3683  OSARG O  00:23:11.97 -74:05:20.8                                      
OGLE-SMC-LPV-00135  SMC138.8   3684  OSARG O  00:23:12.96 -74:12:08.9                                      
OGLE-SMC-LPV-00136  SMC135.8     19  OSARG C  00:23:13.08 -73:28:35.4                                      
OGLE-SMC-LPV-00137  SMC139.8   1499  OSARG O  00:23:13.64 -74:47:32.2                                      
OGLE-SMC-LPV-00138  SMC139.6   1961  OSARG C  00:23:14.01 -74:22:11.3                                      
OGLE-SMC-LPV-00139  SMC135.8      8  OSARG C  00:23:15.26 -73:35:42.6                                      
OGLE-SMC-LPV-00140  SMC136.8      2  OSARG O  00:23:15.28 -72:55:16.3                                      
OGLE-SMC-LPV-00141  SMC136.8     27  OSARG O  00:23:15.60 -72:55:36.6                                      
OGLE-SMC-LPV-00142  SMC136.6     19  OSARG O  00:23:15.89 -72:39:55.0                                      
OGLE-SMC-LPV-00143  SMC140.7  14239  OSARG O  00:23:16.20 -72:11:11.0                                      
OGLE-SMC-LPV-00144  SMC136.7     13  OSARG O  00:23:17.64 -72:51:58.6                                      
OGLE-SMC-LPV-00145  SMC135.6     47  OSARG O  00:23:18.00 -73:16:41.7                                      
OGLE-SMC-LPV-00146  SMC138.8   3686  OSARG O  00:23:18.20 -74:07:46.0                                      
OGLE-SMC-LPV-00147  SMC138.6   4024  OSARG O  00:23:18.57 -73:48:52.1                                      
OGLE-SMC-LPV-00148  SMC135.8     20  OSARG O  00:23:19.29 -73:36:48.8                                      
OGLE-SMC-LPV-00149  SMC139.5   2349  OSARG O  00:23:19.72 -74:20:48.8                                      
OGLE-SMC-LPV-00150  SMC136.8     29  OSARG O  00:23:20.60 -72:56:24.8                                      
OGLE-SMC-LPV-00151  SMC135.7     23  OSARG O  00:23:20.73 -73:24:12.0                                      
OGLE-SMC-LPV-00152  SMC135.6     48  OSARG O  00:23:20.82 -73:11:42.3                                      
OGLE-SMC-LPV-00153  SMC136.5     41  OSARG O  00:23:23.91 -72:30:39.3                                      
OGLE-SMC-LPV-00154  SMC135.5      7  SRV   C  00:23:24.52 -73:03:33.2                                      
OGLE-SMC-LPV-00155  SMC135.7     24  OSARG O  00:23:25.76 -73:21:44.2                                      
OGLE-SMC-LPV-00156  SMC140.8   4387  OSARG O  00:23:25.94 -72:22:12.1                                      
OGLE-SMC-LPV-00157  SMC140.5  13626  OSARG O  00:23:26.65 -71:51:09.3                                      
OGLE-SMC-LPV-00158  SMC139.6   1977  OSARG O  00:23:26.67 -74:25:14.4                                      
OGLE-SMC-LPV-00159  SMC135.8     22  OSARG O  00:23:27.64 -73:34:12.9                                      
OGLE-SMC-LPV-00160  SMC138.5   4285  OSARG O  00:23:27.88 -73:44:02.8                                      
OGLE-SMC-LPV-00161  SMC136.5     14  SRV   C  00:23:28.03 -72:26:36.6                                      
OGLE-SMC-LPV-00162  SMC136.8      7  OSARG O  00:23:28.12 -72:54:16.3                                      
OGLE-SMC-LPV-00163  SMC138.5   4286  SRV   O  00:23:28.72 -73:43:02.5                                      
OGLE-SMC-LPV-00164  SMC136.6     20  OSARG O  00:23:31.13 -72:41:41.4                                      
OGLE-SMC-LPV-00165  SMC138.5   4293  OSARG O  00:23:32.22 -73:43:23.5                                      
OGLE-SMC-LPV-00166  SMC138.5   4294  OSARG O  00:23:34.50 -73:42:30.3                                      
OGLE-SMC-LPV-00167  SMC135.8     50  OSARG O  00:23:34.71 -73:34:49.7                                      
OGLE-SMC-LPV-00168  SMC135.7     15  OSARG O  00:23:36.27 -73:24:09.8                                      
OGLE-SMC-LPV-00169  SMC135.7     57  OSARG O  00:23:36.52 -73:24:16.9                                      
OGLE-SMC-LPV-00170  SMC135.8     54  OSARG O  00:23:40.40 -73:30:13.9                                      
OGLE-SMC-LPV-00171  SMC135.8     55  OSARG O  00:23:40.94 -73:34:08.8                                      
OGLE-SMC-LPV-00172  SMC140.5  13628  OSARG O  00:23:41.10 -71:49:36.0                                      
OGLE-SMC-LPV-00173  SMC138.6   4028  OSARG O  00:23:41.36 -73:53:47.4                                      
OGLE-SMC-LPV-00174  SMC135.7     26  OSARG O  00:23:41.85 -73:28:17.3                                      
OGLE-SMC-LPV-00175  SMC139.8   1491  OSARG O  00:23:42.01 -74:43:58.7                                      
OGLE-SMC-LPV-00176  SMC139.7   1581  OSARG O  00:23:42.19 -74:39:20.1                                      
OGLE-SMC-LPV-00177  SMC138.6   4017  OSARG O  00:23:43.03 -73:54:17.4                                      
OGLE-SMC-LPV-00178  SMC139.6   1979  OSARG O  00:23:43.33 -74:23:41.2                                      
OGLE-SMC-LPV-00179  SMC138.5   4295  OSARG O  00:23:43.53 -73:40:17.5                                      
OGLE-SMC-LPV-00180  SMC138.6   4029  OSARG O  00:23:44.86 -73:54:18.9                                      
OGLE-SMC-LPV-00181  SMC135.6     24  OSARG O  00:23:46.20 -73:12:49.7                                      
OGLE-SMC-LPV-00182  SMC138.6   4030  OSARG O  00:23:47.69 -73:46:08.9                                      
OGLE-SMC-LPV-00183  SMC139.8   1501  SRV   C  00:23:48.10 -74:46:22.8                                      
OGLE-SMC-LPV-00184  SMC135.5         SRV   O  00:23:17.72 -73:10:20.3                                      
