OGLE-LMC-RRLYR-00050  RRab  04:31:57.35 -69:08:33.7  LMC546.18.3953   LMC156.6.3883                   
OGLE-LMC-RRLYR-00051  RRab  04:31:57.68 -69:02:47.9  LMC546.18.4085   LMC156.5.3331                   
OGLE-LMC-RRLYR-00052  RRd   04:31:58.08 -70:27:57.5  LMC545.17.328    LMC158.2.340                    
OGLE-LMC-RRLYR-00053  RRc   04:31:59.16 -69:29:05.0  LMC546.09.479    LMC156.8.4050                   
OGLE-LMC-RRLYR-00054  RRc   04:32:01.75 -69:09:49.5  LMC546.18.551    LMC156.6.3900                   
OGLE-LMC-RRLYR-00055  RRd   04:32:02.30 -70:01:28.0  LMC538.16.4568   LMC157.8.2461                   
OGLE-LMC-RRLYR-00056  RRab  04:32:04.25 -70:33:16.0  LMC537.31.3450   LMC158.2.681                    
OGLE-LMC-RRLYR-00057  RRab  04:32:11.95 -70:29:24.9  LMC545.17.279    LMC158.2.387                    
OGLE-LMC-RRLYR-00058  RRab  04:32:14.56 -70:08:13.5  LMC538.15.531    LMC158.4.455                    
OGLE-LMC-RRLYR-00059  RRab  04:32:17.34 -70:42:44.8  LMC537.31.472    LMC158.1.630                    
OGLE-LMC-RRLYR-00060  RRab  04:32:24.83 -68:55:31.5  LMC546.26.309    LMC155.8.433                    
OGLE-LMC-RRLYR-00061  RRab  04:32:27.38 -68:41:05.6  LMC547.02.295    LMC155.7.481                    
OGLE-LMC-RRLYR-00062  RRab  04:32:32.04 -68:33:05.1  LMC547.02.526    LMC155.6.491                    
OGLE-LMC-RRLYR-00063  RRd   04:32:33.08 -69:06:16.4  LMC546.18.4005   LMC156.6.3983                   
OGLE-LMC-RRLYR-00064  RRab  04:32:35.74 -70:10:58.2  LMC538.15.469    LMC158.4.523                    
OGLE-LMC-RRLYR-00065  RRd   04:32:36.41 -68:54:20.7  LMC546.26.342    LMC155.8.468                    
OGLE-LMC-RRLYR-00066  RRab  04:32:36.48 -69:07:26.8  LMC546.18.3983   LMC156.6.3988                   
OGLE-LMC-RRLYR-00067  RRd   04:32:40.05 -69:53:05.3  LMC538.24.482    LMC157.2.658                    
OGLE-LMC-RRLYR-00068  RRab  04:32:42.08 -69:22:06.9  LMC546.09.3861   LMC156.7.3955                   
OGLE-LMC-RRLYR-00069  RRab  04:32:42.67 -70:42:53.7  LMC537.31.468    LMC158.1.419                    
OGLE-LMC-RRLYR-00070  RRab  04:32:43.50 -69:17:28.4  LMC546.18.332    LMC156.7.3958                   
OGLE-LMC-RRLYR-00071  RRab  04:32:45.76 -70:07:39.2  LMC538.15.551    LMC157.1.614                    
OGLE-LMC-RRLYR-00072  RRab  04:32:48.24 -70:34:40.9  LMC537.31.3411   LMC158.2.495                    
OGLE-LMC-RRLYR-00073  RRab  04:32:48.31 -69:22:15.0  LMC538.32.4513   LMC156.7.3967                   
OGLE-LMC-RRLYR-00074  RRab  04:32:53.91 -69:04:49.5  LMC546.18.4041   LMC156.5.3465                   
OGLE-LMC-RRLYR-00075  RRab  04:32:57.01 -69:19:06.7  LMC538.32.4651   LMC156.7.3995                   
OGLE-LMC-RRLYR-00076  RRab  04:32:57.13 -70:14:51.9  LMC538.07.5113   LMC158.4.3045                   
OGLE-LMC-RRLYR-00078  RRc   04:33:04.55 -69:50:01.1  LMC538.24.565    LMC157.3.733                    
OGLE-LMC-RRLYR-00079  RRab  04:33:04.73 -68:51:03.9  LMC539.16.632    LMC155.8.553                    
OGLE-LMC-RRLYR-00080  RRab  04:33:08.44 -70:20:36.9  LMC538.07.4968   LMC158.3.2534                   
OGLE-LMC-RRLYR-00081  RRab  04:33:10.56 -70:18:36.3  LMC538.07.5028   LMC158.3.2539                   
OGLE-LMC-RRLYR-00082  RRab  04:33:10.94 -68:25:39.2  LMC539.25.4704   LMC155.5.3394                   
OGLE-LMC-RRLYR-00083  RRab  04:33:11.28 -68:40:50.5  LMC547.02.302    LMC155.7.3876                   
OGLE-LMC-RRLYR-00084  RRab  04:33:11.40 -70:01:15.8  LMC538.15.5199   LMC157.1.346                    
OGLE-LMC-RRLYR-00085  RRc   04:33:11.68 -69:44:39.6  LMC538.24.5405   LMC157.3.758                    
OGLE-LMC-RRLYR-00086  RRab  04:33:14.10 -69:24:50.2  LMC538.32.4411   LMC156.8.4247                   
OGLE-LMC-RRLYR-00087  RRab  04:33:16.41 -68:02:35.3  LMC547.19.295    LMC154.6.403                    
OGLE-LMC-RRLYR-00088  RRab  04:33:17.81 -69:36:26.4                   LMC157.4.455                    
OGLE-LMC-RRLYR-00089  RRc   04:33:19.24 -70:17:29.7                   LMC158.3.3468                   
OGLE-LMC-RRLYR-00090  RRd   04:33:27.49 -70:34:18.2  LMC537.30.4705   LMC158.2.2495                   
OGLE-LMC-RRLYR-00091  RRab  04:33:29.36 -69:49:08.4  LMC538.24.595    LMC157.3.819                    
OGLE-LMC-RRLYR-00092  RRc   04:33:29.89 -67:59:53.5  LMC547.19.342    LMC154.6.426                    
OGLE-LMC-RRLYR-00093  RRab  04:33:33.60 -68:09:58.0  LMC547.10.3760   LMC154.7.451                    
OGLE-LMC-RRLYR-00094  RRab  04:33:34.71 -67:46:33.8  LMC547.19.3240   LMC154.5.452                    
OGLE-LMC-RRLYR-00095  RRc   04:33:39.87 -68:50:07.2  LMC539.16.660    LMC155.8.3949                   
OGLE-LMC-RRLYR-00096  RRc   04:33:40.29 -70:21:50.3  LMC538.07.4941   LMC158.3.2631                   
OGLE-LMC-RRLYR-00097  RRd   04:33:42.12 -68:07:46.5  LMC547.10.3813   LMC154.7.475                    
OGLE-LMC-RRLYR-00098  RRab  04:33:44.10 -68:31:18.6  LMC539.25.4583   LMC155.6.4002                   
OGLE-LMC-RRLYR-00099  RRab  04:33:44.80 -68:51:45.6  LMC539.16.425    LMC155.8.3857                   
