OGLE-LMC-DSCT-0098 LMC141.5  12827 SINGLEMODE 04:45:55.38 -68:23:23.0 
OGLE-LMC-DSCT-0099 LMC140.8   2373 SINGLEMODE 04:45:56.32 -68:21:53.4 
OGLE-LMC-DSCT-0100 LMC141.8  13046 SINGLEMODE 04:46:14.31 -68:50:43.0 
OGLE-LMC-DSCT-0101 LMC144.3   2439 SINGLEMODE 04:46:18.38 -70:18:02.5 
OGLE-LMC-DSCT-0102 LMC140.8   2693 SINGLEMODE 04:46:19.04 -68:14:06.7 
OGLE-LMC-DSCT-0103 LMC141.8  10836 SINGLEMODE 04:46:19.36 -68:53:00.3 
OGLE-LMC-DSCT-0104 LMC142.8  12156 SINGLEMODE 04:46:24.42 -69:24:27.2 
OGLE-LMC-DSCT-0105 LMC141.5  14691 SINGLEMODE 04:46:33.35 -68:27:39.7 
OGLE-LMC-DSCT-0106 LMC140.7   2628 SINGLEMODE 04:46:34.07 -68:06:40.0 
OGLE-LMC-DSCT-0107 LMC138.7   4796 SINGLEMODE 04:46:41.44 -66:55:57.4 
OGLE-LMC-DSCT-0108 LMC141.7  10831 SINGLEMODE 04:46:45.69 -68:41:57.7 
OGLE-LMC-DSCT-0109 LMC138.6    625 SINGLEMODE 04:46:48.28 -66:51:13.1 
OGLE-LMC-DSCT-0110 LMC142.1   2854 SINGLEMODE 04:46:48.31 -69:26:33.5 
OGLE-LMC-DSCT-0111 LMC143.2   5881 SINGLEMODE 04:46:49.57 -69:58:36.0 
OGLE-LMC-DSCT-0112 LMC141.5  11923 SINGLEMODE 04:46:55.56 -68:23:22.5 
OGLE-LMC-DSCT-0113 LMC139.6   1552 SINGLEMODE 04:47:03.82 -67:26:10.8 
OGLE-LMC-DSCT-0114 LMC140.8  12121 SINGLEMODE 04:47:05.67 -68:18:03.6 
OGLE-LMC-DSCT-0115 LMC143.4   3221 SINGLEMODE 04:47:09.37 -69:36:11.6 
OGLE-LMC-DSCT-0116 LMC139.8   4745 SINGLEMODE 04:47:09.98 -67:38:14.3 
OGLE-LMC-DSCT-0117 LMC139.5   3987 SINGLEMODE 04:47:10.21 -67:17:11.0 
OGLE-LMC-DSCT-0118 LMC139.5   4016 SINGLEMODE 04:47:11.42 -67:12:02.6 
OGLE-LMC-DSCT-0119 LMC140.8  15235 SINGLEMODE 04:47:18.18 -68:21:23.7 
OGLE-LMC-DSCT-0120 LMC142.4   7746 SINGLEMODE 04:47:21.40 -68:59:19.9 
OGLE-LMC-DSCT-0121 LMC144.4  13093 SINGLEMODE 04:47:25.23 -70:15:44.2 
OGLE-LMC-DSCT-0122 LMC140.8  15844 SINGLEMODE 04:47:30.20 -68:20:53.5 
OGLE-LMC-DSCT-0123 LMC143.4  10846 SINGLEMODE 04:47:31.34 -69:38:13.1 
OGLE-LMC-DSCT-0124 LMC138.5   1521 SINGLEMODE 04:47:40.03 -66:43:09.2 
OGLE-LMC-DSCT-0125 LMC143.3  15725 SINGLEMODE 04:47:56.10 -69:48:04.6 
OGLE-LMC-DSCT-0126 LMC137.7   1798 SINGLEMODE 04:47:58.38 -70:29:18.2 
OGLE-LMC-DSCT-0127 LMC137.7    915 SINGLEMODE 04:48:00.92 -70:26:38.3 
OGLE-LMC-DSCT-0128 LMC142.2   6324 SINGLEMODE 04:48:04.64 -69:16:09.4 
OGLE-LMC-DSCT-0129 LMC139.8   8252 SINGLEMODE 04:48:04.93 -67:42:22.0 
OGLE-LMC-DSCT-0130 LMC139.6   9187 SINGLEMODE 04:48:07.03 -67:24:14.3 
OGLE-LMC-DSCT-0131 LMC137.8   1823 SINGLEMODE 04:48:08.34 -70:43:36.1 
OGLE-LMC-DSCT-0132 LMC141.4   2826 SINGLEMODE 04:48:11.26 -68:25:46.7 
OGLE-LMC-DSCT-0133 LMC143.3  16480 SINGLEMODE 04:48:11.64 -69:44:48.6 
OGLE-LMC-DSCT-0134 LMC142.3  11567 SINGLEMODE 04:48:11.99 -69:09:09.6 
OGLE-LMC-DSCT-0135 LMC143.1  18805 SINGLEMODE 04:48:18.69 -70:01:15.0 
OGLE-LMC-DSCT-0136 LMC143.1  12327 SINGLEMODE 04:48:21.63 -70:07:05.0 
OGLE-LMC-DSCT-0137 LMC143.4  17311 SINGLEMODE 04:48:27.33 -69:33:59.1 
OGLE-LMC-DSCT-0138 LMC140.2   5381 SINGLEMODE 04:48:36.66 -68:12:00.7 
OGLE-LMC-DSCT-0139 LMC143.2  17365 SINGLEMODE 04:48:38.76 -69:54:51.4 
OGLE-LMC-DSCT-0140 LMC143.2  13593 SINGLEMODE 04:48:51.54 -69:54:45.5 
OGLE-LMC-DSCT-0141 LMC138.7   7591 SINGLEMODE 04:48:53.68 -66:53:30.2 
OGLE-LMC-DSCT-0142 LMC143.3  14130 SINGLEMODE 04:48:55.92 -69:49:10.9 
OGLE-LMC-DSCT-0143 LMC139.5  10751 SINGLEMODE 04:48:56.24 -67:14:12.3 
OGLE-LMC-DSCT-0144 LMC140.3   1576 SINGLEMODE 04:49:07.08 -67:56:39.0 
OGLE-LMC-DSCT-0145 LMC141.2  18556 SINGLEMODE 04:49:09.26 -68:42:03.3 
OGLE-LMC-DSCT-0146 LMC141.4  16821 SINGLEMODE 04:49:09.71 -68:22:46.9 
OGLE-LMC-DSCT-0147 LMC136.5   5028 SINGLEMODE 04:49:10.09 -69:40:13.4 
OGLE-LMC-DSCT-0148 LMC141.1  16137 SINGLEMODE 04:49:15.68 -68:56:09.3 
OGLE-LMC-DSCT-0149 LMC138.6   7566 SINGLEMODE 04:49:18.78 -66:48:29.2 
OGLE-LMC-DSCT-0150 LMC138.6   6652 SINGLEMODE 04:49:25.93 -66:49:28.7 
OGLE-LMC-DSCT-0151 LMC139.4   1595 SINGLEMODE 04:49:26.97 -67:16:25.3 
OGLE-LMC-DSCT-0152 LMC142.3  20786 SINGLEMODE 04:49:29.37 -69:12:06.5 
OGLE-LMC-DSCT-0153 LMC140.3   8722 SINGLEMODE 04:49:37.83 -68:03:21.8 
OGLE-LMC-DSCT-0154 LMC138.4    100  MULTIMODE 04:49:42.98 -66:38:06.2 
OGLE-LMC-DSCT-0155 LMC137.7  13274 SINGLEMODE 04:49:43.46 -70:29:36.8 
OGLE-LMC-DSCT-0156 LMC141.2  16510 SINGLEMODE 04:49:43.90 -68:39:49.2 
OGLE-LMC-DSCT-0157 LMC136.7   7714 SINGLEMODE 04:49:48.05 -69:57:09.6 
OGLE-LMC-DSCT-0158 LMC139.3   5026 SINGLEMODE 04:50:01.18 -67:24:34.0 
OGLE-LMC-DSCT-0159 LMC138.2   3758 SINGLEMODE 04:50:03.20 -66:57:54.1 
OGLE-LMC-DSCT-0160 LMC136.5   3802 SINGLEMODE 04:50:12.09 -69:37:09.5 
OGLE-LMC-DSCT-0161 LMC140.2  15736 SINGLEMODE 04:50:12.88 -68:05:42.6 
OGLE-LMC-DSCT-0162 LMC140.2  15837 SINGLEMODE 04:50:18.01 -68:09:29.0 
OGLE-LMC-DSCT-0163 LMC140.2  19801 SINGLEMODE 04:50:26.40 -68:04:57.1 
OGLE-LMC-DSCT-0164 LMC135.8  16488 SINGLEMODE 04:50:27.06 -69:25:21.4 
OGLE-LMC-DSCT-0165 LMC140.1  15996 SINGLEMODE 04:50:34.62 -68:20:42.8 
OGLE-LMC-DSCT-0166 LMC134.7  20002 SINGLEMODE 04:50:37.39 -68:43:52.5 
OGLE-LMC-DSCT-0167 LMC140.3  15807 SINGLEMODE 04:50:38.29 -68:02:22.2 
OGLE-LMC-DSCT-0168 LMC134.5   1263 SINGLEMODE 04:50:38.58 -68:28:55.5 
OGLE-LMC-DSCT-0169 LMC136.8  15736 SINGLEMODE 04:50:41.13 -70:07:02.8 
OGLE-LMC-DSCT-0170 LMC140.1  20483 SINGLEMODE 04:50:42.16 -68:18:57.0 
OGLE-LMC-DSCT-0171 LMC136.5  18681 SINGLEMODE 04:50:43.67 -69:39:09.4 
OGLE-LMC-DSCT-0172 LMC134.7  20115 SINGLEMODE 04:50:45.25 -68:41:21.6 
OGLE-LMC-DSCT-0173 LMC140.4  16085 SINGLEMODE 04:50:45.89 -67:47:16.8 
OGLE-LMC-DSCT-0174 LMC140.3  14334 SINGLEMODE 04:50:53.12 -67:58:24.1 
OGLE-LMC-DSCT-0175 LMC136.6  22179 SINGLEMODE 04:50:53.43 -69:45:45.5 
OGLE-LMC-DSCT-0176 LMC137.8  12071 SINGLEMODE 04:51:03.82 -70:42:07.9 
OGLE-LMC-DSCT-0177 LMC134.5  17602 SINGLEMODE 04:51:14.62 -68:21:30.2 
OGLE-LMC-DSCT-0178 LMC140.2  17155 SINGLEMODE 04:51:14.81 -68:10:32.8 
OGLE-LMC-DSCT-0179 LMC139.4   9686 SINGLEMODE 04:51:15.51 -67:12:13.4 
OGLE-LMC-DSCT-0180 LMC134.7   5041 SINGLEMODE 04:51:16.20 -68:47:41.0 
OGLE-LMC-DSCT-0181 LMC139.2  14238 SINGLEMODE 04:51:16.60 -67:36:16.7 
OGLE-LMC-DSCT-0182 LMC134.6  19250  MULTIMODE 04:51:18.80 -68:30:59.6 
OGLE-LMC-DSCT-0183 LMC133.6   1766  MULTIMODE 04:51:22.60 -67:57:44.8 
OGLE-LMC-DSCT-0184 LMC133.5   6471 SINGLEMODE 04:51:25.10 -67:47:17.6 
OGLE-LMC-DSCT-0185 LMC139.3  13931 SINGLEMODE 04:51:26.11 -67:19:34.0 
OGLE-LMC-DSCT-0186 LMC134.7   7142 SINGLEMODE 04:51:30.27 -68:48:00.5 
OGLE-LMC-DSCT-0187 LMC134.5   4157  MULTIMODE 04:51:40.69 -68:29:59.6 
OGLE-LMC-DSCT-0188 LMC134.6  20342 SINGLEMODE 04:51:48.29 -68:32:25.4 
OGLE-LMC-DSCT-0189 LMC139.3  17657 SINGLEMODE 04:51:52.74 -67:25:14.8 
OGLE-LMC-DSCT-0190 LMC139.3  15124 SINGLEMODE 04:51:53.32 -67:25:24.1 
OGLE-LMC-DSCT-0191 LMC133.6    298 SINGLEMODE 04:51:57.34 -67:57:46.3 
OGLE-LMC-DSCT-0192 LMC132.7   4265 SINGLEMODE 04:51:59.41 -67:29:28.4 
OGLE-LMC-DSCT-0193 LMC136.7  23072 SINGLEMODE 04:52:02.86 -69:54:46.6 
OGLE-LMC-DSCT-0194 LMC135.6  26063 SINGLEMODE 04:52:24.66 -69:07:03.9 
OGLE-LMC-DSCT-0195 LMC131.6   2458 SINGLEMODE 04:52:39.13 -66:49:41.5 
OGLE-LMC-DSCT-0196 LMC134.8  29380 SINGLEMODE 04:52:41.72 -68:50:17.6 
OGLE-LMC-DSCT-0197 LMC132.8   7799 SINGLEMODE 04:52:48.44 -67:45:23.8 
OGLE-LMC-DSCT-0198 LMC134.7  26236 SINGLEMODE 04:52:50.01 -68:41:34.6 
OGLE-LMC-DSCT-0199 LMC134.7  26270 SINGLEMODE 04:52:51.95 -68:41:51.7 
OGLE-LMC-DSCT-0200 LMC135.6  26912 SINGLEMODE 04:52:52.78 -69:09:16.4 
OGLE-LMC-DSCT-0201 LMC136.1   6566 SINGLEMODE 04:52:55.02 -70:00:21.3 
OGLE-LMC-DSCT-0202 LMC136.1   3479 SINGLEMODE 04:52:57.45 -70:00:38.5 
OGLE-LMC-DSCT-0203 LMC137.1   3027 SINGLEMODE 04:52:58.24 -70:35:58.3 
OGLE-LMC-DSCT-0204 LMC133.8  28199 SINGLEMODE 04:53:01.74 -68:15:25.8 
OGLE-LMC-DSCT-0205 LMC133.8  23803 SINGLEMODE 04:53:01.89 -68:13:56.3 
OGLE-LMC-DSCT-0206 LMC131.5   1650 SINGLEMODE 04:53:09.49 -66:41:54.8 
OGLE-LMC-DSCT-0207 LMC132.6   7888 SINGLEMODE 04:53:11.44 -67:23:36.3 
OGLE-LMC-DSCT-0208 LMC135.4   1081 SINGLEMODE 04:53:14.89 -69:05:36.1 
OGLE-LMC-DSCT-0209 LMC136.4  16262 SINGLEMODE 04:53:16.62 -69:36:26.1 
OGLE-LMC-DSCT-0210 LMC132.5   3315 SINGLEMODE 04:53:19.27 -67:14:51.1 
OGLE-LMC-DSCT-0211 LMC137.1  12018 SINGLEMODE 04:53:20.57 -70:39:22.7 
OGLE-LMC-DSCT-0212 LMC137.2  14761 SINGLEMODE 04:53:21.75 -70:31:40.7 
