OGLE-LMC-ECL-00074  ED   04:35:37.09 -69:21:47.8  LMC538.31.6170   LMC156.2.5639   -                   
OGLE-LMC-ECL-00075  ED   04:35:38.06 -69:02:46.8  LMC539.07.7776   LMC156.4.5783   -                   
OGLE-LMC-ECL-00076  ED   04:35:39.89 -70:21:11.5  LMC538.06.5349   LMC151.6.26     -                   
OGLE-LMC-ECL-00077  ED   04:35:42.27 -68:16:28.6  LMC547.08.948    LMC154.8.4711   -                   
OGLE-LMC-ECL-00078  ED   04:35:43.21 -70:16:02.1  LMC538.06.6772   LMC151.5.1264   -                   
OGLE-LMC-ECL-00079  ED   04:35:44.14 -68:58:26.4  LMC539.15.827    LMC156.4.5832   -                   
OGLE-LMC-ECL-00080  ED   04:35:45.36 -70:19:36.3  LMC538.06.6485   LMC151.6.1253   -                   
OGLE-LMC-ECL-00081  ED   04:35:47.54 -69:56:37.9  LMC538.14.7315   LMC150.7.1083   -                   
OGLE-LMC-ECL-00082  ED   04:35:48.37 -67:36:46.5  LMC540.16.898    LMC153.7.3723   -                   
OGLE-LMC-ECL-00083  ED   04:35:50.19 -70:17:24.5  LMC538.05.8128   LMC151.6.1281   -                   
OGLE-LMC-ECL-00084  ED   04:35:52.77 -68:49:39.3  LMC539.15.5720   LMC155.1.126    -                   
OGLE-LMC-ECL-00085  ED   04:35:56.99 -67:41:34.6  LMC540.16.719    LMC153.8.3918   -                   
OGLE-LMC-ECL-00086  ED   04:35:57.30 -67:29:12.5  LMC540.16.4047   LMC153.7.3434   -                   
OGLE-LMC-ECL-00087  ED   04:36:06.59 -67:26:49.4  LMC548.01.61     LMC153.6.3653   -                   
OGLE-LMC-ECL-00088  ED   04:36:10.26 -70:24:01.3  LMC538.05.1556   LMC151.6.5586   -                   
OGLE-LMC-ECL-00089  ED   04:36:10.29 -69:17:45.9  LMC539.07.556    LMC156.2.6205   -                   
OGLE-LMC-ECL-00090  ED   04:36:10.49 -68:58:36.7  LMC539.15.818    LMC156.4.6045   -                   
OGLE-LMC-ECL-00091  ED   04:36:15.09 -69:05:16.7  LMC539.07.6390   LMC156.4.4845   -                   
OGLE-LMC-ECL-00092  ED   04:36:16.07 -68:07:45.2  LMC547.08.4383   LMC154.2.92     -                   
OGLE-LMC-ECL-00093  ED   04:36:16.49 -67:05:52.7  LMC548.09.305    LMC152.8.385    -                   
OGLE-LMC-ECL-00094  ED   04:36:17.56 -67:53:51.0  LMC547.17.4778   LMC154.4.773    -                   
OGLE-LMC-ECL-00095  ED   04:36:20.11 -68:20:24.0  LMC547.08.356    LMC154.1.552    -                   
OGLE-LMC-ECL-00096  ED   04:36:20.12 -67:29:57.6  LMC540.16.4389   LMC153.7.3885   -                   
OGLE-LMC-ECL-00097  ED   04:36:22.19 -67:40:38.0  LMC540.16.8      LMC153.8.3162   -                   
OGLE-LMC-ECL-00098  ED   04:36:26.72 -70:09:12.4  LMC538.13.1274   LMC151.5.5393   -                   
OGLE-LMC-ECL-00099  ED   04:36:27.55 -69:39:08.9  LMC538.22.8945   LMC150.5.1190   -                   
